id,query,company,ticker,metric,period,period_type,answer,unit
15,"What was the eps (diluted) of Apple in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,EPS (diluted),2021,FY,5.61,USD/shares
16,"What was the eps (diluted) of Apple in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,EPS (diluted),2020,FY,3.28,USD/shares
17,"What was the operating income of Apple in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Operating Income,2023,FY,114301000000.0,USD
18,"What was the operating income of Apple in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Operating Income,2022,FY,119437000000.0,USD
19,"What was the operating income of Apple in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Operating Income,2021,FY,108949000000.0,USD
20,"What was the operating income of Apple in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Operating Income,2020,FY,66288000000.0,USD
21,"What was the total assets of Apple in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Total Assets,2023,FY,352583000000.0,USD
22,"What was the total assets of Apple in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Total Assets,2022,FY,352755000000.0,USD
23,"What was the total assets of Apple in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Total Assets,2021,FY,351002000000.0,USD
24,"What was the total assets of Apple in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Total Assets,2020,FY,323888000000.0,USD
25,"What was the cash from operations of Apple in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Cash From Operations,2023,FY,110543000000.0,USD
26,"What was the cash from operations of Apple in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Cash From Operations,2022,FY,122151000000.0,USD
27,"What was the cash from operations of Apple in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Cash From Operations,2021,FY,104038000000.0,USD
28,"What was the cash from operations of Apple in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Apple,AAPL,Cash From Operations,2020,FY,80674000000.0,USD
29,"What was the revenue of Microsoft in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Revenue,2023,FY,211915000000.0,USD
30,"What was the revenue of Microsoft in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Revenue,2022,FY,198270000000.0,USD
31,"What was the revenue of Microsoft in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Revenue,2021,FY,168088000000.0,USD
32,"What was the revenue of Microsoft in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Revenue,2020,FY,143015000000.0,USD
33,"What was the net income of Microsoft in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Net Income,2023,FY,72361000000.0,USD
34,"What was the net income of Microsoft in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Net Income,2022,FY,72738000000.0,USD
35,"What was the net income of Microsoft in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Net Income,2021,FY,61271000000.0,USD
36,"What was the net income of Microsoft in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Net Income,2020,FY,44281000000.0,USD
37,"What was the total equity of Microsoft in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Total Equity,2023,FY,206223000000.0,USD
38,"What was the total equity of Microsoft in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Total Equity,2022,FY,166542000000.0,USD
39,"What was the total equity of Microsoft in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Total Equity,2021,FY,141988000000.0,USD
40,"What was the total equity of Microsoft in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Total Equity,2020,FY,118304000000.0,USD
41,"What was the eps (diluted) of Microsoft in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,EPS (diluted),2023,FY,9.68,USD/shares
42,"What was the eps (diluted) of Microsoft in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,EPS (diluted),2022,FY,9.65,USD/shares
43,"What was the eps (diluted) of Microsoft in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,EPS (diluted),2021,FY,8.05,USD/shares
44,"What was the eps (diluted) of Microsoft in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,EPS (diluted),2020,FY,5.76,USD/shares
45,"What was the operating income of Microsoft in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Operating Income,2023,FY,88523000000.0,USD
46,"What was the operating income of Microsoft in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Operating Income,2022,FY,83383000000.0,USD
47,"What was the operating income of Microsoft in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Operating Income,2021,FY,69916000000.0,USD
48,"What was the operating income of Microsoft in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Operating Income,2020,FY,52959000000.0,USD
49,"What was the total assets of Microsoft in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Total Assets,2023,FY,411976000000.0,USD
50,"What was the total assets of Microsoft in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Total Assets,2022,FY,364840000000.0,USD
51,"What was the total assets of Microsoft in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Total Assets,2021,FY,333779000000.0,USD
52,"What was the total assets of Microsoft in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Total Assets,2020,FY,301311000000.0,USD
53,"What was the cash from operations of Microsoft in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Cash From Operations,2023,FY,87582000000.0,USD
54,"What was the cash from operations of Microsoft in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Cash From Operations,2022,FY,89035000000.0,USD
55,"What was the cash from operations of Microsoft in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Cash From Operations,2021,FY,76740000000.0,USD
56,"What was the cash from operations of Microsoft in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Microsoft,MSFT,Cash From Operations,2020,FY,60675000000.0,USD
57,"What was the revenue of Amazon in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Revenue,2023,FY,574785000000.0,USD
58,"What was the revenue of Amazon in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Revenue,2022,FY,513983000000.0,USD
59,"What was the revenue of Amazon in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Revenue,2021,FY,469822000000.0,USD
60,"What was the revenue of Amazon in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Revenue,2020,FY,386064000000.0,USD
61,"What was the net income of Amazon in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Net Income,2023,FY,30425000000.0,USD
62,"What was the net income of Amazon in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Net Income,2022,FY,-2722000000.0,USD
63,"What was the net income of Amazon in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Net Income,2021,FY,33364000000.0,USD
64,"What was the net income of Amazon in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Net Income,2020,FY,21331000000.0,USD
65,"What was the total equity of Amazon in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Total Equity,2023,FY,201875000000.0,USD
66,"What was the total equity of Amazon in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Total Equity,2022,FY,146043000000.0,USD
67,"What was the total equity of Amazon in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Total Equity,2021,FY,138245000000.0,USD
68,"What was the total equity of Amazon in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Total Equity,2020,FY,93404000000.0,USD
69,"What was the eps (diluted) of Amazon in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,EPS (diluted),2023,FY,2.9,USD/shares
70,"What was the eps (diluted) of Amazon in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,EPS (diluted),2022,FY,-0.27,USD/shares
71,"What was the eps (diluted) of Amazon in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,EPS (diluted),2021,FY,64.81,USD/shares
72,"What was the eps (diluted) of Amazon in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,EPS (diluted),2020,FY,41.83,USD/shares
73,"What was the operating income of Amazon in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Operating Income,2023,FY,36852000000.0,USD
74,"What was the operating income of Amazon in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Operating Income,2022,FY,12248000000.0,USD
75,"What was the operating income of Amazon in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Operating Income,2021,FY,24879000000.0,USD
76,"What was the operating income of Amazon in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Operating Income,2020,FY,22899000000.0,USD
77,"What was the total assets of Amazon in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Total Assets,2023,FY,527854000000.0,USD
78,"What was the total assets of Amazon in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Total Assets,2022,FY,462675000000.0,USD
79,"What was the total assets of Amazon in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Total Assets,2021,FY,420549000000.0,USD
80,"What was the total assets of Amazon in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Total Assets,2020,FY,321195000000.0,USD
81,"What was the cash from operations of Amazon in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Cash From Operations,2023,FY,84946000000.0,USD
82,"What was the cash from operations of Amazon in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Cash From Operations,2022,FY,46752000000.0,USD
83,"What was the cash from operations of Amazon in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Cash From Operations,2021,FY,46327000000.0,USD
84,"What was the cash from operations of Amazon in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Amazon,AMZN,Cash From Operations,2020,FY,66064000000.0,USD
85,"What was the revenue of Nvidia in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,Revenue,2023,FY,26974000000.0,USD
86,"What was the revenue of Nvidia in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,Revenue,2022,FY,26914000000.0,USD
87,"What was the revenue of Nvidia in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,Revenue,2021,FY,16675000000.0,USD
88,"What was the revenue of Nvidia in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,Revenue,2020,FY,10918000000.0,USD
89,"What was the net income of Nvidia in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,Net Income,2023,FY,4368000000.0,USD
90,"What was the net income of Nvidia in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,Net Income,2022,FY,9752000000.0,USD
91,"What was the net income of Nvidia in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,Net Income,2021,FY,4332000000.0,USD
92,"What was the net income of Nvidia in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,Net Income,2020,FY,2796000000.0,USD
93,"What was the total equity of Nvidia in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,Total Equity,2023,FY,22101000000.0,USD
94,"What was the total equity of Nvidia in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,Total Equity,2022,FY,26612000000.0,USD
95,"What was the total equity of Nvidia in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,Total Equity,2021,FY,16893000000.0,USD
96,"What was the total equity of Nvidia in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,Total Equity,2020,FY,12204000000.0,USD
97,"What was the eps (diluted) of Nvidia in 2023? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,EPS (diluted),2023,FY,1.74,USD/shares
98,"What was the eps (diluted) of Nvidia in 2022? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,EPS (diluted),2022,FY,3.85,USD/shares
99,"What was the eps (diluted) of Nvidia in 2021? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,EPS (diluted),2021,FY,6.9,USD/shares
100,"What was the eps (diluted) of Nvidia in 2020? Please provide your answer in dollars (unit of 1). Please do not provide any introductory or closing remarks, only the answer itself.",Nvidia,NVDA,EPS (diluted),2020,FY,4.52,USD/shares
